move,power

Detect,-
Fissure,-
Petal Dance,120
Horn Attack,65
Dragon Claw,80
Freeze-Dry,70
Psyshock,80
Bounce,85
Power Whip,120
Magnet Bomb,60
Poison Fang,50
Reflect,-
Confuse Ray,-
Soak,-
Brave Bird,120
Stomp,65
Quick Attack,40
Razor Wind,80
Rock Polish,-
Power Gem,80
Heal Bell,-
Infestation,20
Psywave,-
Shadow Claw,70
Present,-
Gastro Acid,-
Sweet Kiss,-
Refresh,-
Hypnosis,-
Destiny Bond,-
King's Shield,-
Rock Tomb,60
Trick Room,-
Punishment,-
Petal Blizzard,90
Rest,-
Frenzy Plant,150
Moonblast,95
Magic Room,-
Endeavor,-
Bulldoze,60
Attract,-
Stun Spore,-
Stealth Rock,-
Nightmare,-
Metal Burst,-
Gravity,-
Metal Claw,50
Spacial Rend,100
Topsy-Turvy,-
Wake-Up Slap,70
Mystical Fire,65
Smog,30
Energy Ball,90
Hyper Voice,90
Scary Face,-
Pluck,60
Barrage,15
Techno Blast,85
Dark Void,-
Swift,60
Dark Pulse,80
Nuzzle,20
Octazooka,65
Thunder Wave,-
Body Slam,85
Heavy Slam,-
Mega Kick,120
Thrash,120
Flame Burst,70
Bide,-
Roar of Time,150
V-create,180
Rototiller,-
Aerial Ace,60
Morning Sun,-
Hail,-
Aromatic Mist,-
Heat Crash,-
Poison Sting,15
Poison Jab,80
Shift Gear,-
Power Split,-
Leer,-
Spite,-
Focus Energy,-
Captivate,-
Volt Switch,70
Rapid Spin,20
Inferno,100
Sleep Talk,-
Milk Drink,-
Guard Swap,-
Belch,120
Dragon Tail,60
Acid Armor,-
Flare Blitz,120
Jump Kick,100
Supersonic,-
Dream Eater,100
Fire Punch,75
Happy Hour,-
Draco Meteor,130
Rain Dance,-
Shadow Punch,60
Drill Peck,80
Whirlwind,-
Dizzy Punch,70
Blizzard,110
Flatter,-
Torment,-
Night Slash,70
Wrap,15
Feather Dance,-
Electric Terrain,-
Aura Sphere,80
Twineedle,25
Heart Swap,-
Leaf Tornado,65
Aurora Beam,65
Muddy Water,90
Hurricane,110
Poison Powder,-
Twister,40
Fiery Dance,80
Extrasensory,80
Needle Arm,60
Minimize,-
Brick Break,75
Magical Leaf,60
Spark,65
Memento,-
Night Daze,85
Mean Look,-
Sticky Web,-
Force Palm,60
Zap Cannon,120
Double Team,-
Constrict,10
Double-Edge,120
Magnetic Flux,-
Future Sight,120
Ominous Wind,60
Pay Day,40
After You,-
Facade,70
Shadow Force,120
Teleport,-
Copycat,-
Mud Shot,55
Tailwind,-
Cross Poison,70
Thousand Waves,90
Revenge,60
Haze,-
Strength,80
Water Shuriken,15
Amnesia,-
Clear Smog,50
Water Spout,150
Synthesis,-
Fire Blast,110
Leaf Blade,90
Skull Bash,130
Absorb,20
Assist,-
Sand Attack,-
Final Gambit,-
Sacred Sword,90
Snarl,55
Fury Swipes,18
Sing,-
Focus Blast,120
Calm Mind,-
Hone Claws,-
Metal Sound,-
High Jump Kick,130
Fairy Lock,-
Close Combat,120
Fury Attack,15
Air Cutter,60
Blaze Kick,85
Work Up,-
Fake Tears,-
Iron Tail,100
Spore,-
Leech Seed,-
Nasty Plot,-
Crush Claw,75
Misty Terrain,-
Foul Play,95
Wring Out,-
Curse,-
Guard Split,-
Hold Hands,-
Chip Away,70
Mega Punch,80
Wide Guard,-
Bulk Up,-
Conversion 2,-
Vital Throw,70
Bubble,40
Fusion Bolt,100
Spit Up,-
Flame Wheel,60
Sweet Scent,-
Reflect Type,-
Icicle Spear,25
Meditate,-
Drain Punch,75
Discharge,80
Last Resort,140
Role Play,-
Leech Life,20
Protect,-
Spikes,-
Thunder Shock,40
Covet,60
Retaliate,70
Belly Drum,-
Block,-
Sketch,-
Psycho Shift,-
Aqua Tail,90
Shadow Sneak,40
Natural Gift,-
Rock Slide,75
Meteor Mash,90
Megahorn,120
Swords Dance,-
